Initializing...
Please connect ESCs
Controller is initialized.
Starting...
time: 26174, yaw: 0.23, pitch: -0.05, roll: 0.02, wx: -0.05, wy: 0.02, wz: 0.15
time: 26285, yaw: 0.24, pitch: -0.05, roll: 0.02, wx: -0.03, wy: 0.01, wz: 0.07
time: 26394, yaw: 0.24, pitch: -0.05, roll: 0.02, wx: 0.06, wy: 0.01, wz: -0.09
time: 26505, yaw: 0.22, pitch: -0.05, roll: 0.03, wx: 0.08, wy: -0.04, wz: -0.27
time: 26614, yaw: 0.19, pitch: -0.05, roll: 0.03, wx: -0.09, wy: -0.05, wz: -0.42
time: 26725, yaw: 0.14, pitch: -0.05, roll: 0.01, wx: -0.30, wy: -0.01, wz: -0.49
time: 26835, yaw: 0.09, pitch: -0.05, roll: -0.02, wx: -0.31, wy: 0.02, wz: -0.50
time: 26945, yaw: 0.04, pitch: -0.05, roll: -0.03, wx: -0.07, wy: -0.01, wz: -0.43
time: 27056, yaw: 0.01, pitch: -0.05, roll: -0.02, wx: 0.18, wy: 0.00, wz: -0.28
time: 27165, yaw: -0.01, pitch: -0.05, roll: -0.00, wx: 0.20, wy: 0.03, wz: -0.09
time: 27276, yaw: -0.01, pitch: -0.05, roll: 0.01, wx: 0.01, wy: 0.00, wz: 0.11
time: 27385, yaw: 0.01, pitch: -0.05, roll: 0.00, wx: -0.07, wy: -0.03, wz: 0.21
time: 27496, yaw: 0.03, pitch: -0.05, roll: -0.00, wx: -0.03, wy: -0.01, wz: 0.25
time: 27607, yaw: 0.05, pitch: -0.05, roll: -0.00, wx: 0.04, wy: -0.01, wz: 0.23
time: 27716, yaw: 0.08, pitch: -0.05, roll: 0.00, wx: 0.08, wy: -0.01, wz: 0.22
time: 27827, yaw: 0.10, pitch: -0.05, roll: 0.01, wx: 0.08, wy: -0.01, wz: 0.23
time: 27936, yaw: 0.12, pitch: -0.05, roll: 0.02, wx: 0.10, wy: 0.02, wz: 0.27
time: 28047, yaw: 0.15, pitch: -0.05, roll: 0.02, wx: 0.04, wy: -0.03, wz: 0.27
time: 28157, yaw: 0.17, pitch: -0.04, roll: 0.02, wx: 0.02, wy: 0.59, wz: 0.04
time: 28267, yaw: 0.17, pitch: 0.02, roll: 0.02, wx: -0.25, wy: -0.16, wz: -0.03
time: 28378, yaw: 0.16, pitch: -0.05, roll: 0.00, wx: 0.02, wy: -0.61, wz: -0.12
time: 28487, yaw: 0.15, pitch: -0.06, roll: -0.01, wx: -0.47, wy: 0.60, wz: -0.15
time: 28598, yaw: 0.14, pitch: -0.01, roll: -0.10, wx: -1.23, wy: 0.40, wz: 0.06
time: 28708, yaw: 0.12, pitch: 0.02, roll: -0.28, wx: -1.99, wy: 0.21, wz: -0.35
time: 28818, yaw: 0.08, pitch: 0.02, roll: -0.45, wx: -1.29, wy: 0.18, wz: -0.28
time: 28929, yaw: 0.06, pitch: 0.02, roll: -0.55, wx: -0.76, wy: 0.06, wz: -0.09
time: 29038, yaw: 0.05, pitch: 0.02, roll: -0.62, wx: -0.61, wy: 0.04, wz: -0.09
time: 29149, yaw: 0.04, pitch: 0.01, roll: -0.66, wx: -0.26, wy: -0.06, wz: -0.15
time: 29258, yaw: 0.04, pitch: 0.00, roll: -0.68, wx: -0.07, wy: -0.07, wz: -0.05
time: 29369, yaw: 0.04, pitch: -0.00, roll: -0.68, wx: 0.04, wy: -0.07, wz: -0.08
time: 29479, yaw: 0.04, pitch: -0.01, roll: -0.67, wx: 0.23, wy: -0.08, wz: -0.00
time: 29589, yaw: 0.05, pitch: -0.01, roll: -0.65, wx: 0.06, wy: -0.00, wz: 0.01
time: 29700, yaw: 0.04, pitch: -0.01, roll: -0.64, wx: 0.13, wy: 0.06, wz: -0.06
time: 29809, yaw: 0.04, pitch: -0.02, roll: -0.61, wx: 0.59, wy: -0.10, wz: -0.02
time: 29920, yaw: 0.05, pitch: -0.03, roll: -0.53, wx: 0.87, wy: -0.17, wz: 0.03
time: 30030, yaw: 0.05, pitch: -0.04, roll: -0.45, wx: 0.84, wy: -0.07, wz: 0.01
time: 30140, yaw: 0.06, pitch: -0.04, roll: -0.36, wx: 0.83, wy: 0.01, wz: 0.03
time: 30251, yaw: 0.06, pitch: -0.04, roll: -0.28, wx: 0.77, wy: -0.03, wz: 0.01
time: 30360, yaw: 0.06, pitch: -0.04, roll: -0.21, wx: 0.70, wy: -0.07, wz: -0.00
time: 30471, yaw: 0.06, pitch: -0.05, roll: -0.13, wx: 0.97, wy: -0.06, wz: -0.06
time: 30580, yaw: 0.06, pitch: -0.06, roll: -0.01, wx: 1.12, wy: -0.01, wz: 0.02
time: 30691, yaw: 0.07, pitch: -0.03, roll: 0.07, wx: 0.57, wy: 0.40, wz: 0.16
time: 30801, yaw: 0.09, pitch: -0.01, roll: 0.14, wx: 0.79, wy: 0.18, wz: 0.17
time: 30911, yaw: 0.10, pitch: -0.00, roll: 0.21, wx: 0.67, wy: -0.15, wz: -0.06
time: 31022, yaw: 0.10, pitch: -0.02, roll: 0.29, wx: 0.86, wy: -0.10, wz: 0.17
time: 31131, yaw: 0.11, pitch: -0.03, roll: 0.37, wx: 0.78, wy: -0.11, wz: 0.19
time: 31242, yaw: 0.12, pitch: -0.06, roll: 0.46, wx: 0.97, wy: -0.35, wz: 0.10
time: 31351, yaw: 0.11, pitch: -0.08, roll: 0.54, wx: 0.58, wy: -0.02, wz: -0.08
time: 31462, yaw: 0.11, pitch: -0.06, roll: 0.58, wx: 0.29, wy: 0.20, wz: -0.03
time: 31572, yaw: 0.11, pitch: -0.05, roll: 0.60, wx: 0.19, wy: 0.00, wz: -0.12
time: 31682, yaw: 0.10, pitch: -0.05, roll: 0.61, wx: -0.07, wy: -0.02, wz: -0.02
time: 31793, yaw: 0.10, pitch: -0.05, roll: 0.59, wx: -0.30, wy: 0.05, wz: -0.01
time: 31902, yaw: 0.10, pitch: -0.05, roll: 0.56, wx: -0.46, wy: 0.02, wz: -0.04
time: 32013, yaw: 0.09, pitch: -0.05, roll: 0.49, wx: -0.83, wy: -0.03, wz: -0.09
time: 32123, yaw: 0.09, pitch: -0.03, roll: 0.40, wx: -0.93, wy: 0.21, wz: -0.14
time: 32233, yaw: 0.09, pitch: 0.00, roll: 0.30, wx: -0.99, wy: 0.41, wz: -0.02
time: 32344, yaw: 0.09, pitch: 0.03, roll: 0.21, wx: -0.79, wy: 0.13, wz: -0.12
time: 32453, yaw: 0.07, pitch: 0.03, roll: 0.14, wx: -0.52, wy: -0.30, wz: -0.18
time: 32564, yaw: 0.05, pitch: -0.01, roll: 0.10, wx: -0.25, wy: -0.38, wz: -0.21
time: 32674, yaw: 0.03, pitch: -0.03, roll: 0.11, wx: 0.24, wy: 0.06, wz: -0.09
time: 32784, yaw: 0.03, pitch: -0.02, roll: 0.12, wx: -0.01, wy: -0.07, wz: 0.02
time: 32894, yaw: 0.03, pitch: -0.05, roll: 0.12, wx: -0.02, wy: -0.43, wz: 0.12
time: 33005, yaw: 0.04, pitch: -0.10, roll: 0.11, wx: -0.17, wy: -0.50, wz: 0.16
time: 33115, yaw: 0.05, pitch: -0.15, roll: 0.09, wx: -0.12, wy: -0.55, wz: 0.04
time: 33225, yaw: 0.04, pitch: -0.21, roll: 0.08, wx: 0.01, wy: -0.59, wz: -0.05
